fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
固定收益型,网上，手机，PAD，网点,,2016-05-09 10:00,招银进宝系列,,鼎鼎成金14907号理财计划-广州分行销售,129,4.40％,招商银行,,2016-09-19,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,金葵花增利系列203号理财计划,,,招商银行,,2016-07-22,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14781号理财计划-南京分行销售,37,4.30％,招商银行,,2016-05-27,,
固定收益型,网上，手机，PAD，网点,,2016-05-09 10:00,招银进宝系列,,金葵花增利系列200001号理财计划-武汉分行销售,64,4.10%,招商银行,,2016-07-20,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14972号理财计划-佛山分行销售,90,4.40％,招商银行,,2016-07-21,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14871号理财计划-杭州分行销售,,4.40％,招商银行,,2016-07-20,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14787号理财计划-南京分行销售,143,4.40％,招商银行,,2016-09-09,,
固定收益型,网上，手机，PAD，网点,,2016-04-18 10:00,招银进宝系列,,鼎鼎成金14700号理财计划-厦门、重庆分行销售,46,4.20％,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-04-18 10:00,招银进宝系列,,鼎鼎成金14991号理财计划-长沙分行销售,45,4.20％,招商银行,,2016-06-06,,
固定收益型,网上，手机，PAD，网点,,2016-04-18 10:00,招银进宝系列,,鼎鼎成金14792号理财计划-大连分行销售,91,4.40％,招商银行,,2016-07-22,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14599号理财计划-广州分行销售,,4.30％,招商银行,,2016-06-13,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14703号理财计划-上海分行销售,74,4.15％,招商银行,,2016-07-05,,
固定收益型,网上，手机，PAD，网点,,2016-04-18 10:00,招银进宝系列,,私人增利系列85号理财计划,,4.3%,招商银行,,2016-06-16,,
固定收益型,网上，手机，PAD，网点,,2016-04-18 10:00,招银进宝系列,,鼎鼎成金14791号理财计划-大连分行销售,61,4.30％,招商银行,,2016-06-22,,
浮动收益型,网上，手机，PAD，网点,,2016-04-19 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-04-21,,
浮动收益型,网上，手机，PAD，网点,,2016-04-19 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-10-20,,
固定收益型,网上，手机，PAD，网点,,2016-04-18 10:00,招银进宝系列,,私人增利系列84号理财计划,,4.2%,招商银行,,2016-07-15,,
固定收益型,网上，手机，PAD，网点,,2016-04-15 10:00,招银进宝系列,,鼎鼎成金14826号理财计划-广州分行销售,,4.40％,招商银行,,2016-06-23,,
固定收益型,网上，手机，PAD，网点,,2016-04-19 10:00,招银进宝系列,,鼎鼎成金14829号理财计划-广州分行销售,251,4.60％,招商银行,,2016-12-29,,
浮动收益型,网上，手机，PAD，网点,,2016-04-19 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-07-20,,
固定收益型,网上，手机，PAD，网点,,2016-04-19 10:00,招银进宝系列,,鼎鼎成金14782号理财计划-南京分行销售,44,4.30％,招商银行,,2016-06-08,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,金葵花增利系列212号理财计划,,,招商银行,,2016-07-19,,
固定收益型,网上，手机，PAD，网点,,2016-04-19 09:00,招银进宝系列,,日日盈分级理财计划,,,招商银行,,2026-04-19,,
浮动收益型,网上，手机，PAD，网点,,2016-04-19 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-08-17,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,金葵花增利系列209号理财计划,,,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,鼎鼎成金14720号理财计划-武汉分行销售,99,4.40％,招商银行,,2016-08-02,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,美元鼎鼎成金0381号理财计划,,2.85％,招商银行,,2018-04-26,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,美元鼎鼎成金0411号理财计划,,2.10％,招商银行,,2017-04-27,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,金葵花增利系列210号理财计划,,,招商银行,,2016-06-14,,
